"filename", "language", "JSON", "Markdown", "JSON with Comments", "YAML", "TypeScript", "PostCSS", "Ignore", "JavaScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\utils\structure\index.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\utils\structure\structure-channel.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\utils\structure\structure.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 3, 10, 60
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\utils\themes\constant.ts", "TypeScript", 0, 0, 0, 0, 156, 0, 0, 0, 0, 3, 6, 165
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\utils\themes\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\utils\themes\presets.ts", "TypeScript", 0, 0, 0, 0, 206, 0, 0, 0, 0, 19, 13, 238
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\utils\themes\themeToCss.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 7, 3, 27
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\utils\themes\types.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 7, 8, 60
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\utils\truncate.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 11, 9, 58
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\utils\types.ts", "TypeScript", 0, 0, 0, 0, 166, 0, 0, 0, 0, 27, 33, 226
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\vite.config.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\studio\workspace.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 0, 0, 6, 17, 128
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 21, 0, 0, 7, 7, 35
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\components.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 2, 7
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\next.config.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 1, 9, 61
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\package.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\proxy.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\scripts\build.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 34, 0, 3, 8, 45
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\[[...slug]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 77, 1, 12, 90
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\_sandbox\articles\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 85, 1, 10, 96
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\_sandbox\articles\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 142, 1, 17, 160
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\actions.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\api\article\search\route.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 8, 35
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\api\disable-draft\route.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\api\navigation\route.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 7, 20
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\api\og\og-config.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\api\og\og-data.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\api\og\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 272, 2, 30, 304
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\api\presentation-draft\route.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\api\preview\route.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 9, 99
